Time [s],PLETH,HR,PULSE,SpO2
0,0.43597,94,93,97
1,0.59042,94,93,97
2,0.40762,94,93,97
3,0.54545,92,93,97
4,0.39785,93,93,97
5,0.49853,93,93,97
6,0.41056,94,94,97
7,0.44966,94,94,97
8,0.54643,94,94,97
9,0.41349,94,94,97
10,0.55718,94,94,97
11,0.39785,94,94,97
12,0.4868,94,94,97
13,0.40567,94,94,97
14,0.3998,94,94,97
15,0.59824,95,94,97
16,0.41349,94,94,97
17,0.53763,94,94,97
18,0.43011,94,94,97
19,0.4653,94,94,97
20,0.4086,94,94,97
21,0.43206,94,94,97
22,0.59726,94,94,97
23,0.40078,94,94,97
24,0.58651,94,94,97
25,0.40469,94,94,97
26,0.47116,94,94,98
27,0.41153,94,94,98
28,0.44477,94,94,98
29,0.47703,94,94,98
30,0.4174,94,94,98
31,0.55718,94,94,98
32,0.40958,94,94,98
33,0.60508,93,94,98
34,0.37537,93,94,98
35,0.55621,93,94,97
36,0.39589,93,94,97
37,0.52395,93,94,97
38,0.3998,92,94,97
39,0.47312,92,94,97
40,0.40665,92,94,97
41,0.47898,92,93,97
42,0.39101,92,93,97
43,0.47214,92,93,97
44,0.38514,92,92,97
45,0.46921,95,92,97
46,0.50929,95,92,97
47,0.42522,92,92,97
48,0.58065,92,92,97
49,0.42522,92,92,97
50,0.5914,92,92,97
51,0.41642,92,92,97
52,0.57674,92,92,97
53,0.42131,91,92,97
54,0.5738,89,92,97
55,0.41935,91,92,97
56,0.55914,91,92,97
57,0.41935,91,92,97
58,0.56207,91,92,97
59,0.41838,91,92,97
60,0.56012,90,92,97
61,0.42522,90,91,97
62,0.55914,90,91,97
63,0.41838,90,91,97
64,0.55327,90,91,97
65,0.42131,90,91,97
66,0.54839,90,90,97
67,0.40567,91,90,97
68,0.52199,90,90,97
69,0.41251,90,89,97
70,0.51417,91,89,97
71,0.41056,91,89,97
72,0.50635,91,89,97
73,0.40958,91,89,97
74,0.46628,91,89,97
75,0.39883,91,89,97
76,0.47605,91,90,97
77,0.38514,91,90,97
78,0.46725,91,90,97
79,0.42522,91,90,97
80,0.44477,91,90,97
81,0.48387,91,90,97
82,0.435,91,91,97
83,0.56207,91,91,97
84,0.42522,91,91,97
85,0.5347,91,91,97
86,0.43011,91,91,97
87,0.57771,91,91,97
88,0.41251,91,91,97
89,0.58456,91,91,97
90,0.44086,91,91,97
91,0.48876,92,91,97
92,0.48289,92,91,97
93,0.40958,92,91,97
94,0.41838,92,91,97
95,0.55132,92,91,97
96,0.55425,93,91,97
97,0.50733,93,91,97
98,0.43206,93,91,97
99,0.45161,93,91,97
100,0.51711,93,91,97
101,0.43304,93,91,97
102,0.45455,93,91,97
103,0.54154,93,91,97
104,0.65885,90,91,97
105,0.45748,92,91,97
106,0.50147,92,91,97
107,0.45357,92,91,97
108,0.46041,92,91,97
109,0.39394,92,91,97
110,0.41251,92,90,97
111,0.38416,92,NaN,NaN
112,0.43988,92,NaN,NaN
113,0.48583,92,NaN,NaN
114,0.27175,92,NaN,NaN
115,0.49462,92,NaN,NaN
116,0.52199,92,NaN,NaN
117,0.61193,92,NaN,NaN
118,0.47898,92,NaN,NaN
119,0.5826,92,NaN,NaN
120,0.43695,92,NaN,NaN
121,0.53079,92,NaN,NaN
122,0.43011,92,NaN,NaN
123,0.49169,92,NaN,NaN
124,0.44575,92,92,98
125,0.46237,92,92,98
126,0.42033,92,91,98
127,0.47996,91,91,97
128,0.40762,91,91,97
129,0.46432,91,91,97
130,0.43402,91,92,97
131,0.46628,91,92,97
132,0.43988,91,91,97
133,0.43304,91,91,97
134,0.43304,91,91,97
135,0.42229,91,91,97
136,0.53959,91,91,97
137,0.42424,91,91,97
138,0.59042,91,91,97
139,0.42717,91,90,97
140,0.56109,91,90,97
141,0.40665,91,90,97
142,0.58749,91,90,97
143,0.41544,91,91,97
144,0.62463,91,91,97
145,0.41642,91,91,97
146,0.55425,91,91,97
147,0.41251,91,91,97
148,0.54936,91,91,97
149,0.41056,91,90,97
